experiment,CARCHARGEAVAILSCEN,ChargingCost$22,CARSVCAVAILSCEN,INTDENSITYSCEN,LANEMILESCEN,LaneMileCost$22,LUDENSITYMIX,OPSDEPLOYSCEN,OpsCost$22,SHDCARSVCOCCUPRATE,SOVDIVIVERTSCEN,SOVCost$22,TAXSCEN,Per Mile Charge$2022,TDMINVESTMENTSCEN,,TRANSITSERVICESCEN,TransitCost$22,VehOwnTax,VehOwnTax(Adj)$2022,RoadUseTax,AnnualRoadUseTax$2022,TotalFuelTax,TotalFuelTax2022,Total Budget$2022,Costs$2022,PresAdapt$2022,JobsDeficit_statewide,Bridges_restricted_statewide,ForfeitGDP_statewide,HouseholdDvmtPerPrsn,TotalDvmtPerPrsn,TotalCO2e,HouseholdCO2ePerPrsn,HouseholdCO2ePerMileRural,BusCO2eRate_Metro,HvyTrkAveUrbanCO2eRate_Metro,TransitTripsPerCapita,TransitPMTPerPrsnUrban,BikeTripsPerCapita,BikePMTPerPrsnUrban,WalkTripsPerCapita,WalkPMTPerPrsnUrban,ArtDvmtPropExtCong_SalemKeizer,FwyExtCongTTI_Metro,ArtExtCongTTI_Metro,LdvAveSpeed_Metro,AutoFatalCrash_Metro,AutoFatalUrban,AutoInjuryUrban,AutoFatalRural,OwnCostProp,OwnCostPropHhLess25K,OwnCostPropHh25Kto50K
2880,0.332872418,281657448.4,high,0.155284512,0.115400055,657700027.3,0.074222782,0.907209746,681441949.2,1.5,0.807563858,923025543.1,0.168077262,0.026336941,0.665337909,,0.037952653,1345543183,256354253.7,380036807.9,2500227.583,1149943402,62771246.83,79097874.66,4030859042,2082312196,1948546845,150000,400,500,20.52391388,24.41731393,29083310862,5075.442504,258.8338071,1891.050724,1176.273884,0.21626632,19.34374807,0.063970363,1136.564614,0.775092098,0.466128394,0.212172378,2.336399485,1.326751249,28.72753946,54.60462756,88.92404147,21098.26147,55.20155804,0.037874808,0.160391901,0.09169284
2881,0.273323206,280466464.1,mid,0.699282207,0.493513618,846756808.8,0.546019063,0.539897095,607979419,1.5,0.322936811,729174724.5,0.458790101,0.040246945,0.750961267,,0.730593129,2176711755,242877996.8,360058697.1,3509043.927,1613933843,59095050.01,74465509.2,4814757563,2099790054,2714967508,100000,300,350,19.27575876,23.18291795,27443262209,4775.800862,259.9129428,1891.050724,1175.499682,0.293775819,54.66029869,0.136200611,1169.231228,2.626328076,0.56751392,0.210054879,2.34246728,1.329103899,28.7924743,48.37552588,79.83716471,18835.81326,54.82940849,0.035909174,0.140100591,0.085795036
2882,0.120433155,277408663.1,high,0.857130277,0.2761719,738085950.2,0.411389908,0.321168466,564233693.1,1.5,0.579018619,831607447.5,0.180882467,0.026949643,0.160691428,,0.183806131,1520567358,248478801.6,368361707.3,2464961.531,1133723293,60607554.29,76371411.67,3986027440,1995532030,1990495410,150000,400,500,19.83646869,23.71845017,28083761037,4905.052762,259.2495801,1891.050724,1176.08402,0.231176162,21.18055617,0.174355151,1142.214194,3.43298902,0.509145695,0.210760337,2.346081704,1.330502705,28.72942384,51.54403436,83.33547683,19781.74881,55.19156338,0.036709697,0.148415106,0.088164301
2883,0.36028191,282205638.2,high,0.465374059,0.738950005,969475002.7,0.263188243,0.462417794,592483558.8,1.5,0.288880439,715552175.7,0.636912703,0.048769742,0.590458495,,0.584952424,2001942909,248700529,368690410.9,4356901.801,2003893770,60837995.65,76661790.19,5509662642,2201940287,3307722354,80000,250,225,19.90897207,23.80615154,28179878537,4919.716395,258.9203354,1891.050724,1175.994726,0.263822071,45.4099346,0.097000097,1157.187093,1.459548096,0.548152567,0.210679285,2.343748754,1.329599231,28.80864296,51.45902889,84.43485929,19999.17621,54.62178456,0.036773396,0.148989467,0.088355351
2884,0.445849081,283916981.6,low,0.329933218,0.919471223,1059735611,0.395453878,0.527262912,605452582.3,1.5,0.096371375,638548550,0.572887912,0.045706288,0.62523394,,0.979514047,2475416856,244333996.5,362217169.1,4028622.233,1852906346,60037209.27,75652721.48,5237195537,2268379450,2968816087,100000,300,350,19.59659145,23.51819408,27973571263,4866.761637,259.0652777,1891.050724,1175.592806,0.325307057,96.35499558,0.076656773,1177.534507,1.557633766,0.589570644,0.210443714,2.34267599,1.329184555,28.85165097,49.28632601,82.2424141,19391.34172,54.65865174,0.036144733,0.142466497,0.086507349
2885,0.657680556,288153611.1,low,0.884874317,0.443164693,821582346.4,0.648200568,0.158309411,531661882.1,1.5,0.703896985,881558794.1,0.210205798,0.028352703,0.904135447,,0.119828638,1443794366,245429367.8,363841021.3,2505669.35,1152446264,58848805.62,74155217.34,4010393613,2082177237,1928216377,150000,400,500,19.1354474,23.022701,27272622817,4753.553289,264.1074161,1891.050724,1175.603228,0.241185884,18.92344096,0.18288901,1136.822826,3.783707916,0.505994065,0.209362827,2.348776282,1.331540353,28.76333935,48.22272062,78.72822562,18615.77599,55.13104362,0.036277079,0.143192926,0.086998943
2886,0.476363386,284527267.7,low,0.709990339,0.120915051,660457525.4,0.604869109,0.70739859,641479718.1,1.5,0.736422619,894569047.7,0.944962528,0.063509285,0.477968055,,0.543374086,1952048903,243328568.3,360726654.6,5336900.103,2454629771,57884685.9,72940332.73,6283974336,2033749035,4250225301,40000,200,150,18.88439795,22.74235864,26950521423,4688.415739,260.1987507,1891.050724,1175.279304,0.282319656,39.03259396,0.141239298,1164.035946,2.494363156,0.550675422,0.209366037,2.339700925,1.328031048,28.75405371,47.3372385,77.9096151,18352.70558,54.21805326,0.035981968,0.140413979,0.086020878
2887,0.971662629,294433252.6,high,0.388246939,0.552980749,876490374.4,0.039847299,0.090730976,518146195.2,1.5,0.190928561,676371424.4,0.763438111,0.054823719,0.878870535,,0.633709978,2060451973,253454249.9,375737646.9,4929393.778,2267203149,61457702.82,77442681.48,5978867851,2027255534,3951612316,40000,200,150,20.07933261,24.0076423,28545413124,4971.811352,258.9858424,1891.050724,1176.254083,0.264788604,49.93520035,0.085654737,1162.648405,1.344673498,0.551363813,0.211418984,2.34989529,1.331965372,28.7497284,51.98387325,86.01972563,20372.03216,54.45538086,0.037485143,0.156333784,0.090588951
2888,0.558743699,286174874,mid,0.206872972,0.092700353,646350176.4,0.334339464,0.687374085,637474817,1.5,0.643917119,857566847.8,0.988709936,0.065602508,0.886592502,,0.775324636,2230389563,246682597.3,365698893,5653980.778,2600466427,59464783.99,74931409.97,6547645107,1998783291,4548861816,40000,200,150,19.40158766,23.30997153,27645552729,4814.015276,259.5684115,1891.050724,1175.643341,0.296101785,72.06540085,0.065199864,1177.110957,1.253385435,0.566723729,0.210650943,2.340028785,1.328158683,28.73694957,49.39305343,81.90731604,19329.23659,54.15171452,0.036507219,0.14603469,0.08748946
2889,0.091710486,276834209.7,mid,0.025457296,0.048479801,624239900.4,0.126975327,0.955875615,691175123,1.5,0.182711571,673084628.3,0.57668983,0.045888202,0.428122905,,0.703502221,2144202665,251476206.2,372805261.7,4209240.692,1935979186,62177158.93,78349266.13,5397880052,1928791547,3469088505,80000,250,225,20.35107477,24.26876701,28897583896,5032.315713,257.9029088,1891.050724,1176.054533,0.280644941,64.15451475,0.048482367,1173.208951,1.063618861,0.553215116,0.212777454,2.33559664,1.326439273,28.72952369,53.04918987,87.75315723,20761.69358,54.69734028,0.037216471,0.153419842,0.089747847
2890,0.258423798,280168476,low,0.192555043,0.662660519,931330259.4,0.625993379,0.776821292,655364258.4,1.5,0.91923078,967692312.1,0.564581796,0.045308858,0.668973606,,0.503027145,1903632574,243398528.3,360830368.1,3926339.648,1805862955,59048636.37,74407023.5,5151302831,2350709150,2800593681,100000,300,350,19.24243327,23.09459293,27456953003,4787.000224,259.8405426,1891.050724,1175.510496,0.27764765,43.47687655,0.065822361,1153.892679,1.081433388,0.538279691,0.209099031,2.338553723,1.327585983,28.83200132,48.96812634,80.30452134,18932.14237,54.70928831,0.036026688,0.140324018,0.086122774
2891,0.840029908,291800598.2,high,0.862994842,0.496250201,848125100.5,0.951838019,0.428452945,585690589,1.5,0.770044801,908017920.3,0.184394072,0.027117666,0.146605994,,0.924663032,2409595639,234632424.9,347834906.1,2357516.315,1084305425,57666822.13,72665803.2,3872534555,2179625248,1692909307,150000,400,500,18.83156167,22.76181962,26778504635,4642.517425,260.309003,1891.050724,1175.28824,0.314439118,75.22537119,0.168511595,1180.849423,5.049245792,0.583772929,0.208651327,2.344309256,1.329816326,28.79410092,46.88598211,76.51148815,18086.50953,55.182129,0.034717213,0.128839083,0.082469038
2892,0.708683806,289173676.1,low,0.046702909,0.503346197,851673098.5,0.416982853,0.921445606,684289121.3,1.5,0.328775256,731510102.4,0.979465648,0.065160188,0.290978011,,0.757793063,2209351675,245520257.4,363975762.1,5709144.495,2625838178,60251640.63,75922925.85,6592057694,2190890947,4401166747,40000,200,150,19.68767101,23.59058309,28013182310,4878.640659,259.2983893,1891.050724,1175.696559,0.300107631,71.03095377,0.050780254,1170.071431,1.132221336,0.563718367,0.210717129,2.336162813,1.326659601,28.80990329,50.37473439,83.47556578,19723.1648,54.18599999,0.03634861,0.143885176,0.087012439
